Qualification Title,Owner Organisation Name,Owner Organisation Acronym,Qualification Level,Qualification Type,Qualification Status
Pearson Edexcel Level 3 NVQ in Supervisory Management of Munition Clearance and/or Specified Targets,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Supply Chain Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Supporting Teaching and Learning in Schools,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Telesales,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Traffic Office,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Travel and Tourism Services,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Trowel Occupations,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Welsh,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Spanish Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Welsh Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
"Pearson Edexcel Level 3 Principal Learning in Business, Administration and Finance",Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Construction and the Built Environment,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Creative and Media,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Engineering,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Environmental and Land-based Studies,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Hospitality,Pearson Education Ltd,Pearson,Level 3,Principal Learning,No longer awarded
Pearson Edexcel Level 3 Principal Learning in IT,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Manufacturing and Product Design,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Public Services,Pearson Education Ltd,Pearson,Level 3,Principal Learning,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Retail Business,Pearson Education Ltd,Pearson,Level 3,Principal Learning,No longer awarded
"Pearson Edexcel Level 3 Principal Learning in Society, Health and Development",Pearson Education Ltd,Pearson,Level 3,Principal Learning,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 3 Principal Learning in Travel and Tourism,Pearson Education Ltd,Pearson,Level 3,Other,No longer awarded
Pearson Edexcel Level 4 Award for Proficiency in Food Manufacturing Excellence (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Conducting External Quality Assurance of the Assessment Process,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Award in Conducting Internal Quality Assurance of the Assessment Process,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Award in Developing Work Related Skills through Vocational Training (QCF) ,Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Intermediate Incident Command in Fire and Rescue Services,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Award in Intermediate Incident Command in Fire and Rescue Services (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Learning and Development (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Managing Resource Efficiency (Energy) (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Managing Resource Efficiency (Transport) (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Managing Resource Efficiency (Waste) (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award in Managing Resource Efficiency (Water) (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Award In Preparing to Teach in the Lifelong Learning Sector (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Certificate for Financial Advisers (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Certificate for Proficiency in Food Manufacturing Excellence (QCF),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Certificate in Advanced Automotive Diagnostics and Management Fundamentals (QCF),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Certificate in Fire Safety (Fire Auditors),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Certificate in Leading the External Quality Assurance of Assessment,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Certificate in Teaching in the Lifelong Learning Sector (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Diploma for Proficiency in Food Manufacturing Excellence (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Diploma in Accounting (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Diploma in Facilities Management Practice (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Diploma in Fire Safety (Fire Inspectors),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Diploma in Learning and Development,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 Diploma in Technical Textiles and Apparel (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 Essential Skills Wales in Application of Number,Pearson Education Ltd,Pearson,Level 4,Higher Level,No longer awarded
Pearson Edexcel Level 4 Essential Skills Wales in Communication,Pearson Education Ltd,Pearson,Level 4,Higher Level,No longer awarded
Pearson Edexcel Level 4 Essential Skills Wales in Information and Communication Technology,Pearson Education Ltd,Pearson,Level 4,Higher Level,No longer awarded
Pearson Edexcel Level 4 Key Skills in Application of Number,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 Key Skills in Communication,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 Key Skills in Improving Own Learning and Performance,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 Key Skills in Information and Communication Technology,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 Key Skills in Problem Solving,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 Key Skills in Working With Others,Pearson Education Ltd,Pearson,Level 4,Key Skills,No longer awarded
Pearson Edexcel Level 4 NVQ Certificate in Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Advice and Guidance,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Business-Improvement Techniques (QCF),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Controlling Lifting Operations - Supervising Lifts (Construction),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Customer Service (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Design Management (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Engineering Environmental Technologies (QCF),Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Engineering Leadership (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Engineering Manufacture,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Management (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Diploma in Management (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Extended Diploma in Engineering Leadership (QCF),Pearson Education Ltd,Pearson,Level 4,QCF,No longer awarded
Pearson Edexcel Level 4 NVQ Extended Diploma in Engineering Manufacture,Pearson Education Ltd,Pearson,Level 4,Occupational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ for Communication Technology Professionals,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ for Contact Centre Professionals,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ for Managing in Road Passenger Transport,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Advice and Guidance,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Built Environment Design,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Business and Administration,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Business-Improvement Techniques,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
"Pearson Edexcel Level 4 NVQ in Children's Care, Learning and Development",Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Co-ordination of Learning and Development Provision,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Construction Contracting Operations,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Construction Site Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Customer Service,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Design Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Fire Safety,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Health and Social Care,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Leadership and Management for Care Services,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Learning and Development,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
"Pearson Edexcel Level 4 NVQ in Learning, Development and Support Services for Children, Young People and Those who Care for Them",Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Management of Learning and Development Provision,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Planning and Management of Munition Clearance Operations,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Planning and Management of Specified Targets Search Operations,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Playwork,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Police Operational Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Site Inspection,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Spectator Safety Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 4 NVQ in Supply Chain Management,Pearson Education Ltd,Pearson,Level 4,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 5 Award in Developing a Strategy that Aims to Achieve Sustainability (QCF),Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
Pearson Edexcel Level 5 Certificate in Teaching Employability Skills (QCF),Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
"Pearson Edexcel Level 5 Diploma for the Learning, Development and Support Services Workforce (QCF)",Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
Pearson Edexcel Level 5 Diploma in Automotive Management and Leadership (QCF),Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
Pearson Edexcel Level 5 Diploma in Cultural Heritage (QCF),Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
"Pearson Edexcel Level 5 Diploma in Leadership for Children's Care, Learning and Development (Advanced Practice)",Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
"Pearson Edexcel Level 5 Diploma in Leadership for Children's Care, Learning and Development (Management)",Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
Pearson Edexcel Level 5 Diploma in Leadership for Health and Social Care and Children and Young People's Services (England) (QCF),Pearson Education Ltd,Pearson,Level 5,QCF,No longer awarded
Pearson Edexcel Level 5 Diploma in Leadership for Health and Social Care Services (Adults' Advanced Practice) Wales and Northern Ireland,Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
Pearson Edexcel Level 5 Diploma in Leadership for Health and Social Care Services (Adults' Management) Wales and Northern Ireland,Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
Pearson Edexcel Level 5 Diploma in Leadership for Health and Social Care Services (Adults' Residential Management) Wales and Northern Ireland,Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
Pearson Edexcel Level 5 Diploma in Leadership for Health and Social Care Services (Children and Young People's Advanced Practice) Wales and Northern Ireland,Pearson Education Ltd,Pearson,Level 5,Occupational Qualification,No longer awarded
